,Date,Rented Bike Count,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
0,11,254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,3,1,1
1,11,204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,3,1,1
2,11,173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,3,1,1
3,11,107,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,3,1,1
4,11,78,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,3,1,1
5,11,100,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,3,1,1
6,11,181,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,3,1,1
7,11,460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,3,1,1
8,11,930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,3,1,1
9,11,490,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,3,1,1
10,11,339,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,3,1,1
11,11,360,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,3,1,1
12,11,449,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,3,1,1
13,11,451,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,3,1,1
14,11,447,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,3,1,1
15,11,463,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,3,1,1
16,11,484,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,3,1,1
17,11,555,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,3,1,1
18,11,862,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,3,1,1
19,11,600,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,3,1,1
20,11,426,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,3,1,1
21,11,405,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,3,1,1
22,11,398,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,3,1,1
23,11,323,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,3,1,1
24,23,328,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,3,1,1
25,23,308,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,3,1,1
26,23,262,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,3,1,1
27,23,167,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,3,1,1
28,23,89,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,3,1,1
29,23,79,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,3,1,1
30,23,70,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,3,1,1
31,23,146,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,3,1,1
32,23,219,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,3,1,1
33,23,328,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,3,1,1
34,23,334,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,3,1,1
35,23,388,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,3,1,1
36,23,479,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,3,1,1
37,23,606,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,3,1,1
38,23,611,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,3,1,1
39,23,589,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,3,1,1
40,23,618,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,3,1,1
41,23,572,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,3,1,1
42,23,489,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,3,1,1
43,23,385,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,3,1,1
44,23,359,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,3,1,1
45,23,377,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,3,1,1
46,23,354,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,3,1,1
47,23,366,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,3,1,1
48,35,342,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,3,1,1
49,35,227,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,3,1,1
50,35,228,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,3,1,1
51,35,117,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,3,1,1
52,35,76,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,3,1,1
53,35,32,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,3,1,1
54,35,13,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,3,1,1
55,35,22,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,3,1,1
56,35,85,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,3,1,1
57,35,152,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,3,1,1
58,35,200,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,3,1,1
59,35,273,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,3,1,1
60,35,333,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,3,1,1
61,35,495,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,3,1,1
62,35,563,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,3,1,1
63,35,621,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,3,1,1
64,35,598,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,3,1,1
65,35,545,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,3,1,1
66,35,443,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,3,1,1
67,35,422,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,3,1,1
68,35,397,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,3,1,1
69,35,385,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,3,1,1
70,35,350,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,3,1,1
71,35,303,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,3,1,1
72,47,285,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,3,1,1
73,47,186,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,3,1,1
74,47,112,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,3,1,1
75,47,65,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,3,1,1
76,47,41,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,3,1,1
77,47,82,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,3,1,1
78,47,200,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,3,1,1
79,47,498,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,3,1,1
80,47,937,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,3,1,1
81,47,509,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,3,1,1
82,47,311,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,3,1,1
83,47,379,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,3,1,1
84,47,393,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,3,1,1
85,47,391,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,3,1,1
86,47,338,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,3,1,1
87,47,341,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,3,1,1
88,47,375,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,3,1,1
89,47,515,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,3,1,1
90,47,807,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,3,1,1
91,47,568,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,3,1,1
92,47,398,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,3,1,1
